Feature ID,GeneID
A_01_P000552,TNMD
A_01_P000553,ASH1L
A_01_P000554,OR10G2
A_01_P000555,EIF2B5
A_01_P000556,FBXO11
A_01_P000557,0
A_01_P000559,PARD3B
A_01_P000560,FABP4
A_01_P000561,PRSS45
A_01_P000562,0
A_01_P000564,ITSN2
A_01_P000566,NXT2
A_01_P000567,CUL4A
A_01_P000568,ABCF3
A_01_P000570,RNF5
A_01_P000573,PYCR2
A_01_P000575,LMOD1
A_01_P000579,0
A_01_P000580,EPC2
A_01_P000584,DIRAS2
A_01_P000585,SPECC1L
A_01_P000587,C7
A_01_P000589,ARHGAP21
A_01_P000591,0
A_01_P000592,NDST4
A_01_P000593,ZNF660
A_01_P000594,UTP14C
A_01_P000595,0
A_01_P000596,0
A_01_P000598,ACTR5
A_01_P000601,STAP1
A_01_P000602,0
A_01_P000603,SULT2B1
A_01_P000604,CXCR6
A_01_P000605,HYI
A_01_P000606,EIF4A3
A_01_P000607,0
A_01_P000609,PAQR6
A_01_P000611,VMP1
A_01_P000612,MIER2
A_01_P000613,SFT2D2
A_01_P000614,SAYSD1
A_01_P000618,IPMK
A_01_P000621,FRA10AC1
A_01_P000622,ZNF581
A_01_P000623,ETHE1
A_01_P000624,LOC697674
A_01_P000625,MRPL20
A_01_P000626,B4GAT1
A_01_P000629,0
A_01_P000631,PRKAG2
A_01_P000635,KDM4C
A_01_P000637,0
A_01_P000638,ARL2
A_01_P000639,ACTN3
A_01_P000640,IZUMO2
A_01_P000641,ENTPD1
A_01_P000642,LOC695047
A_01_P000645,DESI2
A_01_P000646,COL1A2
A_01_P000648,0
A_01_P000649,0
A_01_P000653,GLCCI1
A_01_P000654,FAM184A
A_01_P000655,TM4SF5
A_01_P000656,OR4M1
A_01_P000660,ETF1
A_01_P000663,DKKL1
A_01_P000664,SLC5A3
A_01_P000667,ELFN2
A_01_P000668,UBE2L6
A_01_P000669,SLC22A12
A_01_P000670,CLDN4
A_01_P000672,RBBP7
A_01_P000673,0
A_01_P000675,LDOC1
A_01_P000684,TTC17
A_01_P000685,0
A_01_P000687,0
A_01_P000688,GRASP
A_01_P000689,PSMA6
A_01_P000691,NADK2
A_01_P000692,MECR
A_01_P000693,UBLCP1
A_01_P000694,0
A_01_P000700,PHTF1
A_01_P000702,TGFB1
A_01_P000703,PPP1R14D
A_01_P000704,INSL6
A_01_P000706,FOXR2
A_01_P000707,SOD3
A_01_P000709,APOBEC4
A_01_P000711,DPCD
A_01_P000712,GATAD2B
